Unnamed: 0,genres,overview
2505,[],"['mascara', 'story', 'three', 'different', 'woman', 'rediscover', 'value', 'friendship', 'time', 'life', 'turmoil', 'panic', 'set', 'approach', 'thirtieth', 'birthday', 'nothing', 'going', 'according', 'plan']"
2629,[],"['previously', 'staged', 'verdi', 's', 'opera', 'otello', 'met', 'la', 'scala', 'filmmaker', 'franco', 'zeffirelli', 'committed', 'production', 'film', 'starring', 'fatally', 'jealous', 'moor', 'venice', 'placido', 'domingo', 'also', 'headlined', 'zeffirelli', 's', 'la', 'scala', 'staging', 'production', 'film', 'wa', 'briefly', 'interrupted', 'domingo', 'participated', 'rescue', 'operation', 'following', 'mexico', 'city', 'earthquake', 'katia', 'ricciarelli', 'desdemona', 'justino', 'diaz', 'iago', 'perform', 'singing', 'zeffirelli', 's', 'cassio', 'played', 'real', 'life', 'european', 'prince', 'urbano', 'barberini', 'is', 'dubbed', 'ezio', 'de', 'cesare', 'director', 'made', 'several', 'cut', 'original', 'libretto', 'score', 'order', 'accommodate', 'film', 's', 'two', 'hour', 'time', 'limit', 'excision', 'done', 'taste', 'discretion', 'excessive', 'violence', 'third', 'act', 'two', 'murders', 'suicide', 'superficial', 'throat', 'slashing', 'otello', 'wa', 'released', 'pg', 'rating']"
2645,[],"['pressure', 'publisher', 'russian', 'novelist', 'fyodor', 'dostoyevsky', 'get', 'work', 'latest', 'piece', 'rouletenberg', 'day', 'take', 'complete', 'novel', 'reality', 'fiction', 'become', 'blurred', 'feverish', 'atmosphere', 'excess', 'dostoyevsky', 's', 'character', 'come', 'life', 'struggle', 'complete', 'work']"
2705,[],"['stage', 'production', 'hamlet', 'filmed', 'lunt', 'fontanne', 'theatre', 'new', 'york']"
2709,[],"['story', 'three', 'young', 'boxer', 'coach', 'determined', 'guide', 'positive', 'direction', 'ring']"
2710,[],"['juvenile', 'lockup', 'new', 'ward', 'answer', 'questions', 'rosie', 'parents', 'sister', 'irene', 'brother', 'michel', 'flashback', 'find', 'happened', 'life', 'irene', 'who', 's', 'rosie', 'know', 'fact', 'mother', 'that', 's', 'secret', 'irene', 's', 'brother', 'michel', 'unemployed', 'compulsive', 'gambler', 'come', 'stay', 'them', 'around', 'then', 'irene', 'meet', 'bernard', 'come', 'care', 'other', 'leaf', 'rosie', 'without', 'attention', 'put', 'adolescent', 'hope', 'romantic', 'fantasy', 'relationship', 'jimi', 'good', 'looking', 'kid', 'see', 'bus', 'adventure', 'jimi', 'land', 'juvie', 'there', 'answer', 'letters']"
2818,[],"['gypsy', 'village', 'father', 'candela', 'josé', 'promise', 'child', 'other', 'year', 'later', 'unfaithful', 'josé', 'marries', 'candela', 'defending', 'lover', 'lucía', 'brawl', 'stabbed', 'death', 'carmelo', 'secretly', 'love', 'candela', 'since', 'wa', 'boy', 'arrested', 'helping', 'josé', 'unfairly', 'sent', 'prison', 'four', 'year', 'later', 'released', 'declares', 'love', 'candela', 'however', 'woman', 'cursed', 'bewitched', 'love', 'every', 'night', 'go', 'place', 'josé', 'died', 'dance', 'ghost']"
3006,[],"['porky', 'style', 'teen', 'comedy', 'plenty', 'gross', 'joke', 'nudity', 'nerd', 'out', 'of', 'control', 'friend', 'chase', 'dream', 'girl', 'beach', 'florida', 'expected', 'carrying', 'occurs']"
3014,[],"['romantic', 'comedy', 'aspiring', 'writer', 'ny']"
3110,[],"['whimsical', 'look', 'back', 'life', 'bisexual', 'man', 'going', 'straight', 'nervous', 'upcoming', 'wedding']"
